bougnoul
buy
con
connard
connasse
conne
ecstasy
enculé
escroc
filmx
hérérosexuelle
hétéro
hétérosexuel
homo
homosexuel
homosexuelle
lesbien
lesbienne
mdma
merde
négro
pédale
porn
porno
pornographie
purchase
putain
pute
salop
salope
sex
sexe
sexuel
skype
whatsapp
