jira,JIRA,jira-software
sftp-secure-file-transfer-protocol,SFTP (Secure File Transfer Protocol),sftp
smtp-simple-mail-transfer-protocol,SMTP (Simple Mail Transfer Protocol),smtp
sgbdr,SGBDR,
remedy,Remedy,
ims,IMS,
ipbx-internet-protocol-branch-exchange,IPBX (Internet Protocol Branch eXchange),ipbx
wi-fi,Wi-Fi,wifi
session-initiation-protocol-sip,Session Initiation Protocol (SIP),sip
openvpn,OpenVPN,
freebsd,FreeBSD,
arch-linux,Arch Linux,arch
gnu,GNU,
windows-client,Windows Client,
control-m,Control-M,
cmdb,CMDB,
developpement,Développement,developpement-informatique
lxc,LXC,
soap,Soap,
perl-langage,Perl (langage),perl
objet-de-strategie-de-groupe-gpo,Objet de stratégie de groupe (GPO),gpo
notepad,Notepad++,
environnement-de-developpement-integre-ide,Environnement de développement intégré (IDE),ide
tailwind-css,Tailwind CSS,"tailwindcss, tailwind"
mariadb,MariaDB,maria-db
intellij-idea,IntelliJ IDEA,intellij
six-sigma,Six Sigma,
power-apps,Power Apps,powerapps
sig-systemes-dinformation-geographique,SIG (Systèmes d'Information Géographique),sig
merise,Merise,
web-service,Web service,"webservice, web-services, webservices"
internet-information-services-iis,Internet Information Services (IIS),iis
linux-debian,Linux Debian,debian
nagios,Nagios,
sgbd,SGBD,
ipsec,IPsec,
fortigate,FortiGate,
api-platform,API Platform,
organisation-autonome-decentralisee-dao,Organisation autonome décentralisée (DAO),dao
bpm-business-process-management,BPM (Business Process Management),bpm
wildfly,WildFly,jboss
pare-feu,Pare-feu,
kaspersky,Kaspersky,
udp-user-datagram-protocol,UDP (User Datagram Protocol),udp
wan-wide-area-network,WAN (Wide Area Network),wan
ethernet,Ethernet,
http,HTTP,
phpmyadmin,phpMyAdmin,
web-marketing,Web marketing,webmarketing
shopify,Shopify,
slack,Slack,
vmware-airwatch,VMware AirWatch,airwatch
novell,Novell,
discord,Discord,
power-automate,Power Automate,
grafana,Grafana,
qlik,Qlik,
cognos,Cognos,ibm-cognos
pentaho,Pentaho,
intranet,Intranet,
cycle-en-v,Cycle en V,cycle-v
zeplin,Zeplin,
sublime-text,Sublime Text,
boostrap,Boostrap,
virtual-network-computing,Virtual Network Computing,vnc
wsus-windows-server-update-services,WSUS (Windows Server Update Services),wsus
oracle-vm-virtualbox,Oracle VM VirtualBox,"virtualbox, virtual-box"
microsoft-word,Microsoft Word,"world, word, ms-word"
business-analysis,Business Analysis,
microsoft-excel,Microsoft Excel,"ms-excel, excel"
next-generation-network-ngn,Next Generation Network (NGN),ngn
4g,4G,
protocole-aaa,Protocole AAA,aaa
radius-remote-authentication-dial-in-user-service,RADIUS (Remote Authentication Dial-In User Service),radius
cryptographie,Cryptographie,
systeme-de-detection-dintrusion-ids,Système de détection d'intrusion (IDS),ids
snmp-simple-network-management-protocol,SNMP (Simple Network Management Protocol),snmp
point-to-point-protocol-ppp,Point-to-Point Protocol (PPP),ppp
wireshark,Wireshark,
staruml,StarUML,
poweramc,PowerAMC,power-amc
windev-mobile,WINDEV Mobile,
adsl,ADSL,
ipv6,IPv6,
systeme-de-prevention-des-intrusions-ips,Système de prévention des intrusions (IPS),ips
reseau-ftth,Réseau FTTH,ftth
open-source-ticket-request-system-otrs,Open-source Ticket Request System (OTRS),otrs
pc,PC,
cics-customer-information-control-system,CICS (Customer Information Control System),cics
windows-nt,Windows NT,nt
z-os,z/OS,
multiple-virtual-storage-mvs,Multiple Virtual Storage (MVS),mvs
batch,Batch,
reseau-de-stockage-san,Réseau de stockage SAN,san
bgp-border-gateway-protocol,BGP (Border Gateway Protocol),bgp
virtual-routing-and-forwarding-vrf,Virtual routing and forwarding (VRF),vrf
mehari,MÉHARI ,
iso-9001,ISO 9001,iso-9-0-0-1
cmmi-capability-maturity-model-integration,CMMI (Capability Maturity Model Integration),cmmi
cobit,COBIT,
preuve-de-concept-poc,Preuve de concept (POC),poc
capex,CAPEX,
opex,OPEX,
sd-wan,SD-WAN,sdwan
woocommerce,WooCommerce,
vmware-workstation,VMware Workstation,workstation
putty,PuTTY,
network-address-translation-nat,Network address translation (NAT),nat
telnet,Telnet,
secure-shell-ssh,Secure Shell (SSH),ssh
vlan,VLAN,vlans
spanning-tree-protocol,Spanning Tree Protocol,spanning-tree
is-is,IS-IS,
open-shortest-path-first-ospf,Open Shortest Path First (OSPF),ospf
eigrp,EIGRP,
kibana,Kibana,
synology,Synology,
netgear,Netgear,
distributed-file-system-dfs,Distributed File System (DFS),dfs
microsoft-deployment-toolkit-mdt,Microsoft Deployment Toolkit (MDT),mdt
windows-deployment-services-wds,Windows Deployment Services (WDS),wds
access-control-list-acl,Access Control List (ACL),acl
internet-protocol-ip,Internet Protocol (IP),ip
transmission-control-protocol-tcp,Transmission Control Protocol (TCP),tcp
postfix,Postfix,
bugzilla,Bugzilla,
mantis,Mantis,
xampp,XAMPP,
zabbix,Zabbix,
oracle-forms,Oracle forms,
teamviewer,TeamViewer,team-viewer
apache-kafka,Apache Kafka,kafka
redmine,Redmine,
mysql-workbench,MySQL Workbench,workbench
phpstorm,PhpStorm,php-storm
smarty,Smarty,
twig,Twig,
blade,BLADE,
doctrine,Doctrine,
redis,Redis,
dreamweaver,Dreamweaver,
adobe-flash,Adobe Flash,flash
composer,Composer,
ticketing,Ticketing,
tierce-maintenance-applicative-tma,Tierce Maintenance Applicative (TMA),tma
kpi,KPI,kpis
linkedin,LinkedIn,
smb-server-message-block,SMB (Server Message Block),smb
nfs-network-file-system,NFS (Network File System),nfs
samba,Samba,
ftp-file-transfert-protocol,FTP (File Transfert Protocol),ftp
ldap,LDAP,
open-source,Open Source,
cypress,Cypress,
apache-solr,Apache Solr,solr
less,Less,
css,CSS,
npm,npm,
gsap,GSAP,
gulp-js,Gulp.js,gulp
webpack,webpack,
firestore,Firestore,
heroku,Heroku,
next-js,Next.js,nextjs
phpunit,PHPUnit,
gitlab-ci,GitLab CI,
nginx,Nginx,
rabbitmq,RabbitMQ,
silae,Silae,
canva,Canva,
spss,SPSS,
publication-assistee-par-ordinateur-pao,Publication Assistée par Ordinateur (PAO),pao
ltspice,LTspice,
ressources-humaines,Ressources humaines,hr
pandas,Pandas,
react-native,React Native,"reactnative, native"
flask,Flask,
abap,ABAP,
ci-cd,CI/CD,"cd, ci"
vhdl,VHDL,
support-informatique,Support informatique,
data-analysis,Data analysis,"data-analyse, data-analytics, analyse-des-donnees, analyse-de-donnees"
intelligence-artificielle,Intelligence artificielle,"artificial-intelligence, ia"
android-studio,Android studio,androidstudio
html,HTML,
labview,LabVIEW,
computer-vision,Computer vision,
adobe-photoshop,Adobe Photoshop,photoshop
adobe-illustrator,Adobe Illustrator,illustrator
database,Database,"databases, db"
qgis,QGIS,
autocad,AutoCAD,
express-js,Express.js,expressjs
nestjs,NestJS,
firebase,Firebase,
safe,Safe,
express,Express,
developpement-web,Développement web,"webdev, web-development, programmation-web"
dax,DAX,
web-design,Web design,webdesign
nosql,Nosql,no-sql
routage,Routage,"router, routing, routeur, routeurs"
support-technique,Support technique,
pytorch,Pytorch,
data-management,Data management,
robot-operating-system-ros,Robot Operating System (ROS),ros
arduino,Arduino,
powerpoint,Powerpoint,"microsoft-powerpoint, ppt, power-point"
redux,Redux,
front-end,Front-end,"frontend, front"
tensorflow,Tensorflow,
msbi,MSBI,
administration-linux,Administration linux,
macos,macOS,"macos-x, mac-osx, mac-os-x, mac-os,osx"
solidworks,SolidWorks,
visual-studio-code,Visual Studio Code,"vs-code, visualstudio, visual, microsoft-visual-studio, visual-studio, visual-code, vsc, vscode"
elasticsearch,Elasticsearch,elastic-search
testlink,TestLink,
cegid,Cegid,
boot,Boot,
github,Github,"git-hub, github-com"
administration-windows,Administration Windows,
dart-langage,Dart (langage),dart
echange-de-donnees-informatise-edi,Échange de données informatisé (EDI),edi
cms,CMS,
scikit-learn,Scikit-learn,"scikit, scikitlearn, sklearn"
graphisme,Graphisme,
scss,SCSS,
gitlab,Gitlab,
tableau-software,Tableau software,tableau
react,React,"reactjs, react-js"
graphql,GraphQL,
servicenow,ServiceNow,service-now
stockage,Stockage,
scripting,Scripting,script
apex,Apex,
ajax,Ajax,
gouvernance,Gouvernance,
delphi,Delphi,
rgpd,Rgpd,gdpr
electronique,Electronique,
iot,IoT,
blender,Blender,
commerce,Commerce,
ui-design,Ui design,ui
reseaux-sociaux,Réseaux sociaux,social-media
installation,Installation,
hp-alm,HP ALM,
rest,Rest,
springboot,Springboot,spring-boot
recrutement,Recrutement,
support-utilisateurs,Support utilisateurs,support-utilisateur
administration-reseaux,Administration réseaux,administration-reseau
sass,Sass,
modelisation,Modélisation,
modele-vue-controleur-mvc,Modèle-vue-contrôleur (MVC),mvc
data-visualisation,Data visualisation,"dataviz, data-visualization"
deploiement,Déploiement,
veeam,Veeam,
hyper-v,Hyper-v,"microsoft-hyper-v, hyperv"
rpa-robotic-process-automation,RPA (Robotic Process Automation),rpa
unity,Unity,unity-3d
marketing-digital,Marketing digital,digital-marketing
google-ads,Google ads,google-adwords
ux-design,UX design,ux
uipath,UiPath,
service-client,Service client,
squash,Squash,
sap-mm,SAP MM,
programmation-orientee-objet-poo,Programmation Orientée Objet (POO),"oriente-objet, poo, oop"
sauvegarde,Sauvegarde,
voip,VoIP,telephonie-ip
dhcp-dynamic-host-configuration-protocol,DHCP (Dynamic Host Configuration Protocol),dhcp
dns,DNS,
odoo,Odoo,
agile-scrum,Agile Scrum,scrum-agile
codeigniter,CodeIgniter,
administration-systeme,Administration système,
sql-server-reporting-services-ssrs,SQL Server Reporting Services (SSRS),ssrs
microsoft-analysis-services-ssas,Microsoft Analysis Services (SSAS),ssas
adobe-xd,Adobe XD,xd
rpg-report-program-generator,RPG (Report Program Generator),rpg
sas,SAS,
transformation-digitale,Transformation digitale,
change-management,Change management,
strategie,Stratégie,
vente,Vente,
relation-client,Relation client,
base-de-donnees,Base de données,"base-de-donnee, bases-de-donnees, bdd"
microstrategy,Microstrategy,
bash,Bash,scripting-bash
etl-extract-transform-load,ETL (Extract-transform-load),etl
tcp-ip,TCP/IP,
comptabilite,Comptabilité,
gestion-des-risques,Gestion des risques,
typescript,TypeScript,"ts, type-script"
qt,QT,
ionic,Ionic,
asp-net,ASP.NET,
windows-presentation-foundation-wpf,Windows Presentation Foundation (WPF),wpf
mac,MAC,
prince2,Prince2,prince-2
postman,Postman,
sketch,Sketch,
figma,Figma,
fortinet,Fortinet,
securite-informatique,Sécurité informatique,security
google-analytics,Google Analytics,
css3,CSS3,
sage-x3,Sage x3,sage-x-3
flutter,Flutter,
software,Software,
logistique,Logistique,
animation,Animation,
confluence,Confluence,
glpi,GLPI,
supervision,Supervision,
commercial,Commercial,
sirh,SIRH,
lean,Lean,"lean-manufacturing, lean-management"
cybersecurite,Cybersécurité,
sap-bo,Sap BO,
lan,LAN,
sccm,SCCM,
django,Django,
planification,Planification,
helpdesk,Helpdesk,help-desk
maintenance-informatique,Maintenance informatique,
citrix,Citrix,
business,Business,
qlikview,Qlikview,qlickview
itsm,ITSM,
itil,ITIL,
bureautique,Bureautique,
cao,CAO,
coordination,Coordination,
automatisation,Automatisation,
jcl-job-control-language,JCL (Job Control Language),jcl
hardware,Hardware,
gestion-de-projet,Gestion de projet,"gestion-des-projets, gestion-projet, gestion-de-projets, pilotage-projet, pilotage-de-projet, pm direction-de-projet, management-de-projet, conduite-de-projet, projet, projets, project-management"
amoa,AMOA,
trello,Trello,
microsoft-power,Microsoft Power,"flow, power"
gestion-de-parc,Gestion de parc,
analyse,Analyse,
pilotage,Pilotage,
reseaux,Réseaux,reseau
integration,Intégration,
windev,WinDev,
visual-basic-net,Visual Basic .NET,vb-net
organisation,Organisation,
exploitation,Exploitation,
utilisateurs,Utilisateurs,
client,Client,
direction,Direction,
management,Management,management-dequipe
xml,XML,
xcode,Xcode,
wordpress,Wordpress,cms-wordpress
web,Web,internet
vpn,VPN,
vmware,VMware,vm-ware
virtualisation,Virtualisation,
vim,Vim,
vba,VBA,"excel-vba, vba-excel"
vagrant,Vagrant,
unix,UNIX,
telecom,Telecom,
talend,Talend,"etl-talend, talend-open-studio"
systeme-dexploitation,Système d'exploitation,os
supply-chain,Supply Chain,
statistiques,Statistiques,statistique
microsoft-ssis,Microsoft SSIS,ssis
sqlite,SQLite,
sql,SQL,
si,SI,
shell,Shell,"shell-scripting, script-shell, shell-bash, scripting-shell, shell-script"
sharepoint,SharePoint,
serveur,Serveur,serveurs
seo,SEO,
selenium,Selenium,
scala,Scala,
rust,Rust,
ruby-on-rails,Ruby on Rails,rails
ruby,Ruby,
reporting,Reporting,
recette,Recette,
puppet,Puppet,
programmation,Programmation,
prestashop,PrestaShop,
postgresql,PostgreSQL,"postgre-sql, postgressql, postgres"
oracle,Oracle,
opengl,OpenGl,
netbeans,NetBeans,
nas,NAS,
mysql,MySQL,"php-mysql, my-sql"
monitoring,Monitoring,
mongodb,Mongodb,"mongo, mongo-db, mangodb"
moe,MOE,
migration,Migration,
apache-maven,Apache Maven,maven
matlab,Matlab,
marketing,Marketing,
mainframe,Mainframe,
magento,Magento,
machine-learning,Machine Learning,ml
load-balancing,Load Balancing,
junit,JUnit,
jquery,jQuery,
joomla,Joomla,
ios,iOS,
informatica,Informatica,
html5,HTML5,
hr-access,HR Access,
hibernate,Hibernate,
haskell,Haskell,
hadoop,Hadoop,
google-cloud-platform,Google Cloud Platform,"google-cloud, gcp"
go-langage,Go (langage),"go, golang"
git,Git,
formation,Formation,formateur
firewall,Firewall,"firewalls, firewalling"
microsoft-exchange-server,Microsoft Exchange Server,"exchange-server, exchange, ms-exchange, microsoft-exchange"
erp,ERP,
eclipse,Eclipse,
drupal,Drupal,
docker,Docker,
design-system,Design system,
design,Design,
depannage,Dépannage,
deep-learning,Deep Learning,
ibm-db2,IBM Db2,db2
data-science,Data science,
data-mining,Data mining,datamining
crm,CRM,
coredata,CoreData,
conduite-du-changement,Conduite du changement,
conception,Conception,
cobol,COBOL,
cft-cross-file-transfer,CFT (Cross File Transfer),cft
cakephp,CakePHP,
c-c,C/C++,"csharp, c, langage-c"
business-object,Business Object,business-objects
business-intelligence,Business Intelligence,
big-data,Big Data,"data, bigdata"
audit,Audit,
angularjs,AngularJS,angular-js
android,Android,
adobe,Adobe,pack-adobe
azure-devops-services,Azure DevOps Services,azure-devops
