jira,JIRA,jira-software
microsoft-dynamics,Microsoft Dynamics,"dynamics, navision"
camtasia,Camtasia,
invision,InVision,
oracle-database,Oracle Database,"oracle-1-1-g, oracle-1-0-g, oracle-10g, oracle-11g, sql-oracle, oracle-db"
network,Network,
katalon-studio,Katalon Studio,katalon
tia-portal,TIA Portal,
scada,SCADA,
waterfall,Waterfall,
realite-augmentee,Réalité augmentée,ar
qnap,QNAP,
windows-internet-name-service-wins,Windows Internet Name Service (WINS),wins
ivanti,Ivanti,
modele-logique-des-donnees-mld,Modèle Logique des Données (MLD),mld
ericsson,Ericsson,
code-division-multiple-access-cdma,Code division multiple access (CDMA),cdma
fibre-optique,Fibre optique ,fibre
siebel,Siebel,
microsoft-onenote,Microsoft OneNote,onenote
mrp-material-requirements-planning,MRP (Material Requirements Planning),mrp
google-search-console,Google Search Console,search-console
jstl,JSTL,
xamarin-forms,Xamarin.Forms,
qhse,QHSE,
amdec,AMDEC,
geofibre,GéoFibre,
ipon,IPON,
dwdm,DWDM,
pytest,pytest,
dbase,dBase,
picsart-photo-studio,PicsArt Photo Studio,picsart
inshot,InShot,
garageband,GarageBand,
nexus,Nexus,
retour-sur-investissement-roi,Retour sur investissement (ROI),roi
linux-ubuntu,Linux Ubuntu,ubuntu
qradar,QRadar,
amazon-s3,Amazon S3,s3
test-unitaire,Test unitaire,
apache-struts,Apache Struts,struts
entreprise-java-bean-ejb,Entreprise Java Bean (EJB),ejb
xsl,XSL,
mamp,MAMP,
web-mobile,Web mobile,
axure-rp,Axure RP,axure
specifications-fonctionnelles-detaillees-sfd,Spécifications Fonctionnelles Détaillées (SFD),sfd
routeurs-cisco,Routeurs Cisco,routeur-cisco
oss,OSS,
web-application-firewall-waf,Web Application Firewall (WAF),waf
ids-ips,IDS/IPS,
webi,Webi,
ifrs,IFRS,
tcpdump,tcpdump,
vuex,Vuex,
hbase,Hbase,
apache-subversion,Apache Subversion,"subversion, svn"
mern-stack,MERN Stack,mern
websphere,WebSphere,
draw-io,draw.io,
fttx,FTTx,
zyxel,Zyxel,
sdh-synchronous-digital-hierarchy,SDH (Synchronous Digital Hierarchy),sdh
pdh-plesiochronous-digital-hierarchy,PDH (Plesiochronous Digital Hierarchy),pdh
smsi,SMSI,
recurrent-neural-network-rnn,Recurrent Neural Network (RNN),rnn
beautifulsoup,BeautifulSoup,
bokeh,Bokeh,
clarity,Clarity,
benchmarking,Benchmarking,benchmark
managed-service-provider-msp,Managed Service Provider (MSP),msp
unreal-engine,Unreal Engine,
check-point,Check Point,checkpoint
pareto,Pareto,
know-your-customer-kyc,Know your customer (KYC),kyc
nuxt-js,Nuxt.js,nuxtjs
streamlit,Streamlit,
asana,Asana,
elementor,Elementor,
hfsql,HFSQL,
sqlalchemy,SQLAlchemy,
ares,Ares,
isis,ISIS,
objective-c,Objective-c,
search-engine-marketing-sem,Search Engine Marketing (SEM),
responsive-web-design,Responsive Web Design,"responsive, responsive-design"
google-docs,Google Docs,docs
symfony,Symfony,"symfony-3-4, php-symfony, symphony"
pert,PERT,
google-tag-manager,Google Tag Manager,gtm
wrike,Wrike,
watchguard,WatchGuard,
raspberry-pi,Raspberry Pi,raspberry
swiftui,SwiftUI,
netapp,NetApp,
netbackup,NetBackup,
arcserve,Arcserve,
imap,IMAP,
ladder,Ladder,
dataiku,Dataiku,
dl-software,DL Software,dl
cisco-asa,Cisco ASA,asa
mapreduce,MapReduce,
cloudera,Cloudera,
mailjet,Mailjet,
clickup,ClickUp,
weka,Weka,
single-sign-on-sso,Single Sign-on (SSO),sso
plesk,Plesk,
youtube,Youtube,
webstorm,WebStorm,
teamwork,Teamwork,
sage-paie,Sage Paie,
adp,ADP,
agl,AGL,
user-story,User story,user-stories
impression-3d,Impression 3D,
scilab,Scilab,
routage-ip,Routage IP,
avamar,Avamar,
docker-swarm,Docker swarm,
ibm-cloud,IBM Cloud,
text-mining,Text mining,
